Cell ID,Death Frame
947,157
948,158
949,161
950,158
951,158
952,158
953,158
954,158
955,159
956,159
957,159
958,159
959,159
960,159
961,159
962,159
963,159
964,161
965,159
966,159
967,159
968,161
969,159
970,160
971,161
972,159
973,159
974,160
975,159
976,160
977,159
978,159
979,159
980,159
981,159
982,161
983,159
984,159
985,159
986,159
987,159
988,159
989,159
990,159
991,159
992,159
993,159
994,159
995,159
996,159
997,159
998,159
999,159
1000,159
1001,159
1002,159
1003,159
1004,159
1005,159
1006,159
1007,159
1008,159
1009,159
1010,159
1011,159
1012,159
1013,159
1014,159
1015,159
1016,159
1017,159
1018,159
1019,159
1020,159
1021,159
1022,159
1023,159
1024,159
1025,159
1026,159
1027,159
1028,159
1029,159
1030,159
1031,159
1032,159
1033,159
1034,159
1035,159
1036,159
1037,159
1038,159
1039,159
1040,159
1041,159
1042,159
1043,159
1044,159
1045,159
1046,159
1047,159
1048,159
1049,159
1050,161
1051,159
1052,159
1053,159
1054,159
1055,161
1056,160
1057,161
1058,161
1059,161
1060,161
