Cell ID,Death Frame
1,2
2,3
3,2
4,156
5,150
6,49
7,2
8,56
9,56
10,88
11,25
12,37
13,37
14,150
15,2
16,119
17,153
18,119
19,2
20,97
21,38
22,150
23,1
24,1
25,11
26,11
27,76
28,131
29,38
30,37
31,19
32,79
33,78
34,2
35,14
36,32
37,32
38,137
39,43
40,161
41,123
42,3
43,43
44,161
45,17
46,71
47,14
48,1
49,54
50,71
51,54
52,102
53,161
54,124
55,68
56,156
57,107
58,73
59,101
60,158
61,76
62,68
63,45
64,116
65,26
66,78
67,93
68,73
69,119
70,157
71,101
72,45
73,157
74,142
75,78
76,108
77,85
78,32
79,13
80,146
81,17
82,64
83,13
84,154
85,85
86,161
87,118
88,62
89,161
90,62
91,12
92,67
93,17
94,67
95,49
96,14
97,8
98,5
99,14
100,100
101,125
102,5
103,32
104,31
105,8
106,8
107,32
108,103
109,128
110,85
111,97
112,113
113,153
114,125
115,103
116,85
117,144
118,3
119,121
120,3
121,101
122,76
123,132
124,161
125,90
126,65
127,161
128,123
129,79
130,1
131,65
132,127
133,68
134,74
135,59
136,68
137,70
138,102
139,69
140,87
141,1
142,134
143,36
144,70
145,140
146,90
147,2
148,27
149,68
150,15
151,2
152,127
153,15
154,62
155,116
156,20
157,140
158,27
159,3
160,72
161,72
162,104
163,24
164,62
165,90
166,2
167,130
168,112
169,1
170,130
171,59
172,66
173,120
174,139
175,59
176,9
177,158
178,69
179,1
180,47
181,53
182,156
183,120
184,68
185,24
186,128
187,19
188,24
189,88
190,19
191,104
192,103
193,61
194,79
195,68
196,103
197,61
198,70
199,104
200,56
201,124
202,89
203,22
204,29
205,80
206,128
207,80
208,104
209,22
210,57
211,1
212,43
213,29
214,154
215,35
216,132
217,114
218,98
219,14
220,57
221,150
222,45
223,14
224,95
225,116
226,105
227,112
228,161
229,116
230,6
231,78
232,21
233,112
234,1
235,148
236,95
237,45
238,21
239,45
240,133
241,89
242,3
243,155
244,11
245,134
246,153
247,123
248,78
249,148
250,48
251,161
252,129
253,29
254,7
255,29
256,88
257,123
258,38
259,78
260,102
261,134
262,48
263,76
264,49
265,38
266,49
267,70
268,15
269,84
270,94
271,120
272,15
273,108
274,31
275,141
276,15
277,15
278,18
279,125
280,80
281,94
282,56
283,80
284,84
285,6
286,145
287,123
288,123
289,57
290,44
291,80
292,99
293,158
294,44
295,140
296,62
297,3
298,62
299,114
300,39
301,9
302,19
303,5
304,3
305,3
306,6
307,3
308,10
309,7
310,10
311,3
312,5
313,17
314,4
315,18
316,126
317,4
318,73
319,5
320,5
321,5
322,6
323,5
324,24
325,5
326,5
327,5
328,6
329,5
330,6
331,21
332,34
333,6
334,36
335,26
336,69
337,7
338,7
339,11
340,14
341,8
342,8
343,14
344,8
345,9
346,17
347,9
348,11
349,59
350,10
351,33
352,16
353,13
354,15
355,59
356,108
357,15
358,13
359,16
360,13
361,14
362,18
363,15
364,64
365,14
366,14
367,67
368,15
369,17
370,90
371,24
372,92
373,16
374,16
375,17
376,56
377,31
378,17
379,17
380,17
381,161
382,156
383,20
384,34
385,32
386,19
387,19
388,19
389,25
390,98
391,20
392,21
393,21
394,21
395,22
396,25
397,22
398,26
399,22
400,23
401,22
402,27
403,22
404,33
405,26
406,89
407,44
408,91
409,24
410,25
411,26
412,24
413,24
414,35
415,24
416,25
417,33
418,40
419,49
420,31
421,26
422,26
423,123
424,153
425,27
426,57
427,29
428,33
429,42
430,35
431,35
432,72
433,30
434,31
435,30
436,30
437,30
438,30
439,56
440,88
441,48
442,31
443,32
444,33
445,32
446,32
447,32
448,97
449,32
450,32
451,32
452,32
453,32
454,32
455,131
456,64
457,34
458,94
459,99
460,42
461,33
462,35
463,34
464,35
465,34
466,34
467,47
468,34
469,98
470,121
471,49
472,35
473,35
474,35
475,35
476,130
477,35
478,72
479,63
480,104
481,42
482,147
483,56
484,39
485,88
486,161
487,40
488,103
489,42
490,42
491,44
492,40
493,42
494,44
495,119
496,43
497,64
498,47
499,49
500,44
501,46
502,45
503,45
504,45
505,45
506,158
507,46
508,100
509,99
510,50
511,47
512,49
513,47
514,55
515,53
516,145
517,49
518,49
519,103
520,123
521,124
522,124
523,67
524,70
525,51
526,52
527,161
528,56
529,55
530,52
531,53
532,101
533,96
534,55
535,64
536,56
537,59
538,73
539,91
540,57
541,120
542,118
543,59
544,78
545,62
546,64
547,100
548,63
549,68
550,69
551,161
552,69
553,65
554,61
555,72
556,63
557,109
558,85
559,90
560,96
561,66
562,136
563,63
564,139
565,65
566,76
567,94
568,77
569,71
570,76
571,122
572,161
573,68
574,67
575,72
576,68
577,95
578,79
579,68
580,72
581,69
582,83
583,141
584,74
585,82
586,69
587,75
588,70
589,80
590,82
591,75
592,125
593,71
594,85
595,76
596,99
597,161
598,77
599,74
600,102
601,87
602,119
603,113
604,82
605,114
606,120
607,75
608,76
609,90
610,78
611,96
612,90
613,81
614,84
615,109
616,79
617,93
618,79
619,104
620,128
621,101
622,154
623,129
624,89
625,80
626,81
627,114
628,102
629,131
630,82
631,98
632,92
633,138
634,102
635,108
636,124
637,86
638,88
639,141
640,88
641,108
642,112
643,97
644,98
645,102
646,90
647,139
648,100
649,128
650,95
651,101
652,101
653,104
654,91
655,101
656,161
657,101
658,93
659,96
660,99
661,101
662,95
663,119
664,96
665,105
666,98
667,102
668,97
669,97
670,97
671,123
672,113
673,100
674,98
675,99
676,153
677,99
678,99
679,106
680,102
681,124
682,122
683,108
684,102
685,127
686,119
687,102
688,120
689,161
690,104
691,112
692,116
693,105
694,105
695,158
696,103
697,126
698,156
699,121
700,139
701,120
702,158
703,119
704,106
705,113
706,106
707,120
708,119
709,107
710,120
711,153
712,119
713,107
714,119
715,150
716,109
717,116
718,109
719,121
720,145
721,111
722,112
723,127
724,116
725,118
726,126
727,115
728,115
729,116
730,149
731,116
732,124
733,117
734,131
735,120
736,130
737,121
738,119
739,156
740,131
741,123
742,121
743,121
744,123
745,123
746,122
747,122
748,130
749,122
750,124
751,121
752,127
753,132
754,141
755,130
756,123
757,124
758,122
759,129
760,125
761,161
762,124
763,127
764,124
765,124
766,127
767,129
768,134
769,130
770,128
771,131
772,128
773,137
774,131
775,125
776,127
777,127
778,126
779,134
780,130
781,128
782,127
783,128
784,128
785,129
786,128
787,131
788,130
789,129
790,128
791,128
792,150
793,130
794,131
795,130
796,132
797,132
798,129
799,136
800,134
801,141
802,132
803,131
804,134
805,140
806,133
807,145
808,133
809,145
810,134
811,161
812,136
813,134
814,133
815,145
816,147
817,137
818,134
819,140
820,139
821,134
822,134
823,135
824,150
825,144
826,139
827,135
828,148
829,135
830,135
831,135
832,136
833,141
834,158
835,153
836,140
837,138
838,141
839,146
840,141
841,141
842,144
843,141
844,142
845,143
846,143
847,155
848,144
849,149
850,144
851,148
852,156
853,143
854,158
855,146
856,144
857,143
858,143
859,149
860,147
861,146
862,145
863,148
864,147
865,146
866,146
867,161
868,146
869,148
870,146
871,146
872,149
873,153
874,161
875,161
876,148
877,151
878,151
879,149
880,151
881,150
882,157
883,151
884,149
885,150
886,158
887,155
888,150
889,151
890,161
891,153
892,161
893,151
894,151
895,151
896,161
897,156
898,152
899,153
900,155
901,152
902,153
903,156
904,154
905,161
906,154
907,157
908,155
909,154
910,155
911,156
912,157
913,154
914,154
915,156
916,156
917,155
918,156
919,161
920,156
921,155
922,155
923,156
924,156
925,156
926,156
927,158
928,156
929,161
930,161
931,157
932,158
933,158
934,157
935,157
936,157
937,157
938,159
939,157
940,157
941,157
942,157
943,157
944,157
945,157
946,157
