Cell ID,Birth Frame,Death Frame
440,218,219
441,218,222
442,218,236
443,218,218
444,218,238
445,218,219
446,218,219
447,218,219
448,218,238
449,219,219
450,219,221
451,219,220
452,219,219
453,219,219
454,219,220
455,220,221
456,220,230
457,220,224
458,220,220
459,220,221
460,220,238
461,220,222
462,221,222
463,221,221
464,221,238
465,222,226
466,222,233
467,222,238
468,222,236
469,222,222
470,222,224
471,222,228
472,222,237
473,222,237
474,222,238
475,223,224
476,223,232
477,223,228
478,224,225
479,224,224
480,224,224
481,224,224
482,224,225
483,224,224
484,224,224
485,225,226
486,225,237
487,225,229
488,225,225
489,225,231
490,225,226
491,225,238
492,226,232
493,226,227
494,226,229
495,226,227
496,226,238
497,226,226
498,226,227
499,227,228
500,227,238
501,227,238
502,227,232
503,227,227
504,227,238
505,228,238
506,228,229
507,228,233
508,228,238
509,228,233
510,228,229
511,228,233
512,228,233
513,228,233
514,229,232
515,229,238
516,229,238
517,229,234
518,229,232
519,229,230
520,229,229
521,229,235
522,229,238
523,229,231
524,230,230
525,230,230
526,230,238
527,230,230
528,230,230
529,230,238
530,230,232
531,230,230
532,231,233
533,231,238
534,231,235
535,231,238
536,231,233
537,231,234
538,231,233
539,231,231
540,231,235
541,231,238
542,232,238
543,232,238
544,232,232
545,232,232
546,232,238
547,232,234
548,233,234
549,233,238
550,233,235
551,233,238
552,234,238
553,234,238
554,234,238
555,234,234
556,234,238
557,234,238
558,234,238
559,235,236
560,235,238
561,235,238
562,235,238
563,235,238
564,235,236
565,235,238
566,235,235
567,235,235
568,235,238
569,235,238
570,236,238
571,236,238
572,236,238
573,236,238
574,236,238
575,236,238
576,236,238
577,237,238
578,237,238
579,237,238
580,237,237
581,237,237
582,237,238
583,237,238
584,238,238
585,238,238
586,238,238
587,238,238
588,238,238
589,238,238
